School_Name,Type,ICSEA
LESMURDIE PRIMARY SCHOOL,P,1043
ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,P,1197
PRESBYTERIAN LADIES COLLEGE,P,1111
WOODBRIDGE PRIMARY SCHOOL,P,1019
KERRY STREET COMMUNITY SCHOOL,P,1043
KALAMUNDA PRIMARY SCHOOL,P,1075
ST BRIGID'S COLLEGE,P,1048
WALLISTON PRIMARY SCHOOL,P,1032
PEARSALL PRIMARY SCHOOL,P,1055
EAST KENWICK PRIMARY SCHOOL,P,931
QUEEN OF APOSTLES SCHOOL,P,1112
ASHFIELD PRIMARY SCHOOL,P,945
GUILDFORD GRAMMAR SCHOOL,P,1091
GREENMOUNT PRIMARY SCHOOL,P,996
BECKENHAM PRIMARY SCHOOL,P,982
WOODLUPINE PRIMARY SCHOOL,P,982
CLAYTON VIEW PRIMARY SCHOOL,P,860
ROSSMOYNE PRIMARY SCHOOL,P,1140
HELENA VALLEY PRIMARY SCHOOL,P,1017
KARRINYUP PRIMARY SCHOOL,P,1122
HILLSIDE CHRISTIAN COLLEGE,P,1025
GUILDFORD PRIMARY SCHOOL,P,1091
JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,P,1070
HIGH WYCOMBE PRIMARY SCHOOL,P,976
CASA MIA MONTESSORI COMMUNITY SCHOOL,P,1169
LOCKRIDGE PRIMARY SCHOOL,P,879
MIDVALE PRIMARY SCHOOL,P,881
BOORAGOON PRIMARY SCHOOL,P,1116
HUNTINGDALE PRIMARY SCHOOL,P,976
BROOKMAN PRIMARY SCHOOL,P,930
NORTH BEACH PRIMARY SCHOOL,P,1100
GOOSEBERRY HILL PRIMARY SCHOOL,P,1071
FALLS ROAD PRIMARY SCHOOL,P,1074
NEDLANDS PRIMARY SCHOOL,P,1183
WHITE GUM VALLEY PRIMARY SCHOOL,P,1099
BASSENDEAN PRIMARY SCHOOL,P,1075
ST BRIGID'S PRIMARY SCHOOL,P,1028
ST ANTHONY'S SCHOOL,P,1027
SWAN VIEW PRIMARY SCHOOL,P,894
SCARBOROUGH PRIMARY SCHOOL,P,1077
ASHBURTON DRIVE PRIMARY SCHOOL,P,934
RICHMOND PRIMARY SCHOOL,P,1143
AQUINAS COLLEGE,P,1023
EAST FREMANTLE PRIMARY SCHOOL,P,1133
APPLECROSS PRIMARY SCHOOL,P,1147
MADDINGTON PRIMARY SCHOOL,P,959
COMO PRIMARY SCHOOL,P,1132
DALKEITH PRIMARY SCHOOL,P,1195
WELD SQUARE PRIMARY SCHOOL,P,1035
EAST HAMILTON HILL PRIMARY SCHOOL,P,1026
HELENA RIVER STEINER SCHOOL,P,1041
HOLY SPIRIT SCHOOL,P,1163
IONA PRESENTATION COLLEGE,P,1124
MARY'S MOUNT PRIMARY SCHOOL,P,1086
FLOREAT PARK PRIMARY SCHOOL,P,1184
MAIDA VALE PRIMARY SCHOOL,P,1030
GLENGARRY PRIMARY SCHOOL,P,1104
EDNEY PRIMARY SCHOOL,P,982
OUR LADY OF LOURDES SCHOOL,P,1061
CAVERSHAM PRIMARY SCHOOL,P,1037
DAVALLIA PRIMARY SCHOOL,P,1112
ANZAC TERRACE PRIMARY SCHOOL,P,1026
QUEENS PARK PRIMARY SCHOOL,P,989
BICTON PRIMARY SCHOOL,P,1111
GOSNELLS PRIMARY SCHOOL,P,966
ST MARIA GORETTI'S CATHOLIC SCHOOL,P,1057
MARMION PRIMARY SCHOOL,P,1126
REDCLIFFE PRIMARY SCHOOL,P,969
ATTADALE PRIMARY SCHOOL,P,1143
SORRENTO PRIMARY SCHOOL,P,1114
SOUTH PADBURY PRIMARY SCHOOL,P,1053
CITY BEACH PRIMARY SCHOOL,P,1166
ST PAUL'S PRIMARY SCHOOL,P,1158
CARLISLE PRIMARY SCHOOL,P,1030
ST JOSEPH'S SCHOOL,P,1081
PERTH COLLEGE,P,1153
SWANBOURNE PRIMARY SCHOOL,P,1145
FOREST CRESCENT PRIMARY SCHOOL,P,1018
ST BENEDICT'S SCHOOL,P,1139
DEANMORE PRIMARY SCHOOL,P,1119
LANDSDALE CHRISTIAN SCHOOL,P,1036
YANGEBUP PRIMARY SCHOOL,P,967
HUDSON PARK PRIMARY SCHOOL,P,947
HAWKER PARK PRIMARY SCHOOL,P,1090
WILSON PRIMARY SCHOOL,P,1035
SOUTH LAKE PRIMARY SCHOOL,P,936
BEACONSFIELD PRIMARY SCHOOL,P,1097
COTTESLOE PRIMARY SCHOOL,P,1147
ST JUDE'S CATHOLIC SCHOOL,P,1035
INGLEWOOD PRIMARY SCHOOL,P,1118
BIBRA LAKE PRIMARY SCHOOL,P,1019
WEMBLEY DOWNS PRIMARY SCHOOL,P,1111
HALE SCHOOL,P,1165
BELMONT PRIMARY SCHOOL,P,1011
ST DENIS SCHOOL,P,1111
SPEARWOOD ALTERNATIVE SCHOOL,P,1115
NOTRE DAME CATHOLIC PRIMARY SCHOOL,P,1087
SHELLEY PRIMARY SCHOOL,P,1120
ST PETER'S PRIMARY SCHOOL,P,1111
NEWMAN COLLEGE,P,1114
HILTON PRIMARY SCHOOL,P,1034
MEL MARIA CATHOLIC PRIMARY SCHOOL,P,1141
REHOBOTH CHRISTIAN COLLEGE,P,1114
KYILLA PRIMARY SCHOOL,P,1129
THE MONTESSORI SCHOOL,P,1109
SPEARWOOD PRIMARY SCHOOL,P,961
JOLIMONT PRIMARY SCHOOL,P,1157
GOOD SHEPHERD CATHOLIC SCHOOL,P,1043
PADBURY PRIMARY SCHOOL,P,1070
GIBBS STREET PRIMARY SCHOOL,P,1037
LAKE GWELUP PRIMARY SCHOOL,P,1119
MELVILLE PRIMARY SCHOOL,P,1115
RIVERTON PRIMARY SCHOOL,P,1119
ST ANDREW'S GRAMMAR,P,1078
ST AUGUSTINE'S SCHOOL,P,1097
JOHN XXIII COLLEGE,P,1170
MILLEN PRIMARY SCHOOL,P,1080
COOLBINIA PRIMARY SCHOOL,P,1141
HAMPTON PARK PRIMARY SCHOOL,P,1000
SCOTCH COLLEGE,P,1165
NORTH FREMANTLE PRIMARY SCHOOL,P,1092
MOUNT CLAREMONT PRIMARY SCHOOL,P,1144
LORETO NEDLANDS,P,1172
COLLIER PRIMARY SCHOOL,P,1088
EMBLETON PRIMARY SCHOOL,P,958
CHURCHLANDS PRIMARY SCHOOL,P,1155
WIRRABIRRA PRIMARY SCHOOL,P,938
ARANMORE CATHOLIC PRIMARY SCHOOL,P,1102
CARALEE COMMUNITY SCHOOL,P,970
ARDROSS PRIMARY SCHOOL,P,1144
SANTA CLARA SCHOOL,P,1066
EAST MADDINGTON PRIMARY SCHOOL,P,945
YIDARRA CATHOLIC PRIMARY SCHOOL,P,1129
KAPINARA PRIMARY SCHOOL,P,1184
KEWDALE PRIMARY SCHOOL,P,987
WEST BALCATTA PRIMARY SCHOOL,P,1078
POYNTER PRIMARY SCHOOL,P,1126
ST KIERAN CATHOLIC PRIMARY SCHOOL,P,1053
BRENTWOOD PRIMARY SCHOOL,P,1103
GLENDALE PRIMARY SCHOOL,P,1038
WINTERFOLD PRIMARY SCHOOL,P,1038
HOLY ROSARY SCHOOL,P,1134
AUSTRALIAN ISLAMIC COLLEGE - PERTH,P,993
EDEN HILL PRIMARY SCHOOL,P,1026
CURTIN PRIMARY SCHOOL,P,995
LEEMING PRIMARY SCHOOL,P,1093
COOGEE PRIMARY SCHOOL,P,1056
YOKINE PRIMARY SCHOOL,P,1047
WATTLE GROVE PRIMARY SCHOOL,P,1073
REGENT COLLEGE,P,1165
CLOVERDALE PRIMARY SCHOOL,P,981
OSBORNE PRIMARY SCHOOL,P,1039
WOODLANDS PRIMARY SCHOOL,P,1127
HOLLYWOOD PRIMARY SCHOOL,P,1165
ROSALIE PRIMARY SCHOOL,P,1181
NORTH WOODVALE PRIMARY SCHOOL,P,1093
MOUNT PLEASANT PRIMARY SCHOOL,P,1128
BALLAJURA PRIMARY SCHOOL,P,1016
BAYSWATER PRIMARY SCHOOL,P,1097
EAST BEECHBORO PRIMARY SCHOOL,P,982
HERITAGE COLLEGE PERTH,P,1028
OUR LADY OF GRACE SCHOOL,P,1116
ST JEROME'S PRIMARY SCHOOL,P,1046
ST MARY'S ANGLICAN GIRLS' SCHOOL,P,1158
PARKWOOD PRIMARY SCHOOL,P,1029
EAST VICTORIA PARK PRIMARY SCHOOL,P,1073
GREENWOOD PRIMARY SCHOOL,P,1019
CAMBOON PRIMARY SCHOOL,P,1035
THE BEEHIVE MONTESSORI SCHOOL INC,P,1182
MANNING PRIMARY SCHOOL,P,1121
WEST LEEDERVILLE PRIMARY SCHOOL,P,1166
WEMBLEY PRIMARY SCHOOL,P,1172
NORTH MORLEY PRIMARY SCHOOL,P,1032
AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,P,985
